date,cash,market_value,total_value,positions,benchmark_price,strategy_nav,benchmark_nav
2025-11-18,901785.0,237575.0,1139360.0,1,4568.193,1.13936,1.1001753029267811
2025-11-19,901785.0,233138.0,1134923.0,1,4588.292,1.134923,1.1050158215768304
2025-11-20,901785.0,232645.0,1134430.0,1,4564.948,1.13443,1.0993937972290144
2025-11-21,901785.0,228140.0,1129925.0,1,4453.608,1.129925,1.0725793613617323
2025-11-24,901785.0,225964.0,1127749.0,1,4448.048,1.127749,1.0712403254050042
2025-11-25,901785.0,227103.0,1128888.0,1,4490.405,1.128888,1.0814413228904585
2025-11-26,901785.0,229381.0,1131166.0,1,4517.626,1.131166,1.0879970599009066
2025-11-27,901785.0,229517.0,1131302.0,1,4515.403,1.131302,1.0874616863520206
2025-11-28,901785.0,230996.0,1132781.0,1,4526.662,1.132781,1.0901732341643946
2025-12-01,901785.0,230792.0,1132577.0,1,4576.486,1.132577,1.10217253767303
2025-12-02,901785.0,227273.0,1129058.0,1,4554.335,1.129058,1.0968378280547781
2025-12-03,901785.0,225590.0,1127375.0,1,4531.049,1.127375,1.0912297720676618
2025-12-04,901785.0,217107.0,1118892.0,1,4546.566,1.118892,1.0949667902224365
2025-12-05,901785.0,218195.0,1119980.0,1,4584.537,1.11998,1.1041114906384288
2025-12-08,901785.0,213146.0,1114931.0,1,4621.755,1.114931,1.1130748431991304
2025-12-09,901785.0,207604.0,1109389.0,1,4598.223,1.109389,1.1074075420959428
2025-12-10,901785.0,208454.0,1110239.0,1,4591.827,1.110239,1.1058671690780955
2025-12-11,901785.0,206380.0,1108165.0,1,4552.185,1.108165,1.0963200353736695
2025-12-12,901785.0,209066.0,1110851.0,1,4580.95,1.110851,1.103247619779295
2025-12-15,901785.0,208777.0,1110562.0,1,4552.06,1.110562,1.0962899311480236
2025-12-16,901785.0,208862.0,1110647.0,1,4497.555,1.110647,1.0831632845974017
2025-12-17,901785.0,207587.0,1109372.0,1,4579.875,1.109372,1.1029887234387408
